,date,season,neutral,playoff,home_team,away_team,home_elo_prob,away_elo_prob,home_carm-elo_prob,away_carm-elo_prob,home_raptor_prob,away_raptor_prob,home_score,away_score,home_ml,away_ml
103,2007-11-14,2008,0,,TOR,UTA,0.5718783697770327,0.4281216302229673,,,,,88.0,92.0,-110,-110
104,2007-11-14,2008,0,,HOU,LAL,0.7373778565486888,0.2626221434513112,,,,,90.0,93.0,-290,240
105,2007-11-14,2008,0,,DEN,POR,0.7814489639107112,0.2185510360892888,,,,,110.0,93.0,-700,550
106,2007-11-14,2008,0,,ATL,CHO,0.5604620031018754,0.4395379968981245,,,,,117.0,109.0,-240,200
107,2007-11-14,2008,0,,MIA,SEA,0.7168096999613667,0.2831903000386333,,,,,95.0,104.0,-290,240
108,2007-11-14,2008,0,,LAC,NYK,0.7878493252449231,0.2121506747550768,,,,,84.0,81.0,-325,275
109,2007-11-14,2008,0,,GSW,DET,0.4919816470723998,0.5080183529276002,,,,,104.0,111.0,100,-120
110,2007-11-14,2008,0,,WAS,IND,0.6429629962967846,0.3570370037032154,,,,,103.0,90.0,-240,200
111,2007-11-14,2008,0,,MIN,SAC,0.5476144927345565,0.4523855072654434,,,,,108.0,103.0,-130,110
112,2007-11-14,2008,0,,MIL,MEM,0.6189332455369944,0.3810667544630056,,,,,102.0,99.0,-260,220
113,2007-11-14,2008,0,,CLE,ORL,0.6988110600688581,0.3011889399311419,,,,,116.0,117.0,-150,130
114,2007-11-14,2008,0,,NOP,PHI,0.7509818764396594,0.2490181235603406,,,,,95.0,76.0,-450,370
115,2007-11-14,2008,0,,BOS,NJN,0.6337202896732516,0.3662797103267484,,,,,91.0,69.0,-650,525
116,2007-11-15,2008,0,,PHO,CHI,0.7732154261947054,0.2267845738052946,,,,,112.0,102.0,-425,355
117,2007-11-15,2008,0,,DAL,SAS,0.5654084404562316,0.4345915595437684,,,,,105.0,92.0,-125,105
118,2007-11-16,2008,0,,CLE,UTA,0.5823580677513955,0.4176419322486044,,,,,99.0,94.0,-125,105
119,2007-11-16,2008,0,,BOS,MIA,0.7182076137210406,0.2817923862789594,,,,,92.0,91.0,-650,525
120,2007-11-16,2008,0,,NJN,ORL,0.5647087048465653,0.4352912951534347,,,,,70.0,95.0,150,-170
121,2007-11-16,2008,0,,TOR,IND,0.8075752251209581,0.1924247748790418,,,,,110.0,101.0,-335,285
122,2007-11-16,2008,0,,SAS,HOU,0.7635465025408281,0.2364534974591718,,,,,90.0,84.0,-500,400
123,2007-11-16,2008,0,,MEM,NOP,0.4222007350170469,0.5777992649829531,,,,,118.0,120.0,140,-160
124,2007-11-16,2008,0,,GSW,LAC,0.6056748152280709,0.3943251847719291,,,,,122.0,105.0,-250,210
125,2007-11-16,2008,0,,LAL,DET,0.4651164740394051,0.5348835259605949,,,,,103.0,91.0,-175,155
126,2007-11-16,2008,0,,ATL,SEA,0.6335090133319231,0.3664909866680769,,,,,123.0,126.0,-275,235
127,2007-11-16,2008,0,,PHI,POR,0.6544387655475398,0.3455612344524602,,,,,92.0,88.0,-150,130
128,2007-11-16,2008,0,,MIN,WAS,0.5741083567516216,0.4258916432483783,,,,,89.0,105.0,150,-170
129,2007-11-17,2008,0,,IND,UTA,0.3448912363863944,0.6551087636136055,,,,,117.0,97.0,190,-230
130,2007-11-17,2008,0,,HOU,PHO,0.5458783996518596,0.4541216003481404,,,,,105.0,115.0,210,-250
131,2007-11-17,2008,0,,LAC,CHI,0.6570009083072866,0.3429990916927133,,,,,73.0,92.0,140,-160
132,2007-11-17,2008,0,,NJN,MIA,0.669977032585723,0.3300229674142769,,,,,87.0,91.0,135,-155
133,2007-11-17,2008,0,,MIL,ATL,0.6435624518519918,0.3564375481480082,,,,,105.0,96.0,-335,285
134,2007-11-17,2008,0,,DAL,MEM,0.8771779836734118,0.1228220163265881,,,,,108.0,105.0,-1500,950
135,2007-11-17,2008,0,,CHO,SEA,0.678500941908491,0.321499058091509,,,,,100.0,84.0,-360,300
136,2007-11-17,2008,0,,WAS,POR,0.6300459831773306,0.3699540168226694,,,,,109.0,90.0,-205,175
137,2007-11-17,2008,0,,MIN,NOP,0.3421193368415434,0.6578806631584566,,,,,82.0,100.0,160,-190
138,2007-11-17,2008,0,,DEN,NYK,0.8267157102249644,0.1732842897750356,,,,,115.0,83.0,-1300,850
139,2007-11-18,2008,0,,TOR,GSW,0.6699211543158828,0.3300788456841171,,,,,100.0,106.0,-260,220
140,2007-11-18,2008,0,,LAL,CHI,0.6212969940067069,0.3787030059932931,,,,,106.0,78.0,-230,190
141,2007-11-18,2008,0,,SAC,DET,0.3616545945508931,0.6383454054491069,,,,,105.0,95.0,175,-205
142,2007-11-18,2008,0,,ORL,BOS,0.710729170676496,0.289270829323504,,,,,104.0,102.0,100,-120
143,2007-11-19,2008,0,,UTA,NJN,0.7928146979235449,0.2071853020764551,,,,,102.0,75.0,-700,550
144,2007-11-19,2008,0,,MEM,SEA,0.631195000173186,0.368804999826814,,,,,125.0,108.0,-235,195
145,2007-11-19,2008,0,,CHO,POR,0.6719303740533193,0.3280696259466806,,,,,101.0,92.0,-230,190
146,2007-11-19,2008,0,,NOP,ORL,0.6575124801631488,0.3424875198368512,,,,,88.0,95.0,-120,100
147,2007-11-20,2008,0,,DEN,CHI,0.7120954819319065,0.2879045180680935,,,,,112.0,91.0,-450,370
148,2007-11-20,2008,0,,DAL,TOR,0.7664787655769719,0.233521234423028,,,,,105.0,99.0,-425,355
149,2007-11-20,2008,0,,SAC,PHO,0.3476433069658383,0.6523566930341618,,,,,98.0,100.0,280,-330
150,2007-11-20,2008,0,,WAS,PHI,0.6191455654798338,0.3808544345201662,,,,,116.0,101.0,-230,190
151,2007-11-20,2008,0,,ATL,SAS,0.2494981230079449,0.7505018769920551,,,,,83.0,95.0,210,-250
152,2007-11-20,2008,0,,CLE,MIL,0.8256012586143437,0.1743987413856562,,,,,107.0,111.0,-290,240
153,2007-11-20,2008,0,,NYK,GSW,0.4429210088416829,0.5570789911583172,,,,,82.0,108.0,100,-120
154,2007-11-20,2008,0,,IND,LAL,0.4666650602889941,0.5333349397110059,,,,,114.0,134.0,105,-125
155,2007-11-21,2008,0,,CHO,WAS,0.6486051497585495,0.3513948502414504,,,,,111.0,114.0,-300,250
156,2007-11-21,2008,0,,MIL,LAL,0.4453948255375214,0.5546051744624785,,,,,110.0,103.0,115,-135
157,2007-11-21,2008,0,,SAS,ORL,0.7728436454685144,0.2271563545314856,,,,,128.0,110.0,-265,225
158,2007-11-21,2008,0,,POR,NJN,0.6151179535754545,0.3848820464245455,,,,,101.0,106.0,-155,135
159,2007-11-21,2008,0,,MIN,CLE,0.3336675454853074,0.6663324545146926,,,,,86.0,97.0,190,-230
160,2007-11-21,2008,0,,HOU,DAL,0.5160459526642818,0.4839540473357182,,,,,94.0,100.0,-140,120
161,2007-11-21,2008,0,,NOP,IND,0.8161716443890079,0.1838283556109921,,,,,93.0,105.0,-325,275
162,2007-11-21,2008,0,,DET,NYK,0.8694231467824582,0.1305768532175417,,,,,98.0,86.0,-800,600
163,2007-11-21,2008,0,,MIA,ATL,0.7160813773604642,0.2839186226395358,,,,,79.0,82.0,-430,360
164,2007-11-21,2008,0,,LAC,DEN,0.5230032685947895,0.4769967314052105,,,,,101.0,90.0,260,-310
165,2007-11-21,2008,0,,BOS,GSW,0.5634963626290438,0.4365036373709562,,,,,105.0,82.0,-820,620
166,2007-11-21,2008,0,,MEM,TOR,0.4654306929663553,0.5345693070336447,,,,,89.0,95.0,-175,155
167,2007-11-21,2008,0,,PHO,SAC,0.8601184977555901,0.1398815022444098,,,,,127.0,111.0,-1600,1000
168,2007-11-23,2008,0,,SAS,MEM,0.9029386670012104,0.0970613329987896,,,,,101.0,88.0,-900,650
169,2007-11-23,2008,0,,PHO,LAC,0.7978766433471243,0.2021233566528757,,,,,113.0,94.0,-1650,1250
170,2007-11-23,2008,0,,MIA,HOU,0.4781030468884094,0.5218969531115907,,,,,98.0,91.0,145,-165
171,2007-11-23,2008,0,,DET,PHI,0.8202671132050069,0.1797328867949931,,,,,83.0,78.0,-600,450
172,2007-11-23,2008,0,,BOS,LAL,0.5970735194482766,0.4029264805517234,,,,,107.0,94.0,-360,300
173,2007-11-23,2008,0,,ORL,CHO,0.7753950696905847,0.2246049303094153,,,,,105.0,92.0,-500,400
174,2007-11-23,2008,0,,DEN,MIN,0.8803069022368757,0.1196930977631243,,,,,99.0,93.0,-1900,1500
175,2007-11-23,2008,0,,WAS,GSW,0.5303512924304252,0.4696487075695748,,,,,115.0,123.0,115,-135
